Date,Home,Result,Away
2011-05-01,Tallinna JK Puuma,1:0,JK Tallinna Kalev
2011-05-01,Kohtla-Järve FC Lootus,0:2,Tallinna FC Flora II
2011-05-01,Tallinna FC Levadia II,0:1,Kiviõli Tamme Auto
2011-05-01,Pärnu Linnameeskond,1:2,Tallinna FC Infonet
2011-04-03,JK Tallinna Kalev,2:1,Kiviõli Tamme Auto
2011-04-03,Tallinna JK Puuma,1:1,Pärnu Linnameeskond
2011-04-03,Kohtla-Järve FC Lootus,1:2,Tallinna FC Levadia II
2011-04-03,Tallinna FC Flora II,4:2,Tallinna JK Legion
2011-04-03,Valga FC Warrior,0:4,Tallinna FC Infonet
2011-03-06,Tallinna FC Infonet,1:2,Tallinna JK Legion
2011-03-06,Kiviõli Tamme Auto,2:1,Pärnu Linnameeskond
2011-03-06,Tallinna FC Flora II,0:1,Tallinna FC Levadia II
2011-03-06,Valga FC Warrior,3:7,Tallinna JK Puuma
2011-03-06,JK Tallinna Kalev,2:2,Kohtla-Järve FC Lootus
2011-04-10,Tallinna FC Infonet,1:1,Tallinna JK Puuma
2011-04-10,Kiviõli Tamme Auto,5:2,Valga FC Warrior
2011-04-10,Tallinna FC Flora II,1:1,JK Tallinna Kalev
2011-04-10,Pärnu Linnameeskond,0:0,Kohtla-Järve FC Lootus
2011-04-10,Tallinna JK Legion,0:0,Tallinna FC Levadia II
2011-03-13,Kohtla-Järve FC Lootus,4:1,Valga FC Warrior
2011-03-13,Pärnu Linnameeskond,0:3,Tallinna FC Flora II
2011-03-13,Tallinna JK Legion,1:5,Tallinna JK Puuma
2011-03-13,Tallinna FC Infonet,2:1,Kiviõli Tamme Auto
2011-04-17,Valga FC Warrior,0:3,Tallinna FC Flora II
2011-04-17,JK Tallinna Kalev,3:0,Tallinna JK Legion
2011-04-17,Tallinna JK Puuma,1:0,Kiviõli Tamme Auto
2011-04-17,Kohtla-Järve FC Lootus,1:3,Tallinna FC Infonet
2011-04-17,Tallinna FC Levadia II,1:1,Pärnu Linnameeskond
2011-03-20,Kiviõli Tamme Auto,1:2,Tallinna JK Legion
2011-03-20,Tallinna FC Flora II,2:1,Tallinna FC Infonet
2011-03-20,Valga FC Warrior,0:7,Tallinna FC Levadia II
2011-03-20,JK Tallinna Kalev,0:0,Pärnu Linnameeskond
