Date,Home,Result,Away
2025-03-01,JK Tabasalu,1:2,Maardu Linnameeskond
2025-03-01,Jõhvi FC Phoenix,3:1,Paide Linnameeskond U21
2025-03-02,FA Tartu Kalev,6:1,Läänemaa JK
2025-02-27,FC Kuressaare U21,1:4,JK Narva Trans U21
2025-02-27,Tallinna JK Legion,2:2,FC Nõmme United U21
2025-03-07,JK Narva Trans U21,3:0,FC Nõmme United U21
2025-03-08,Paide Linnameeskond U21,2:4,Tallinna JK Legion
2025-03-08,FA Tartu Kalev,1:0,JK Tabasalu
2025-03-08,Maardu Linnameeskond,1:0,Jõhvi FC Phoenix
2025-03-09,Läänemaa JK,1:3,FC Kuressaare U21
2025-03-12,Jõhvi FC Phoenix,3:3,JK Narva Trans U21
2025-03-15,Tallinna JK Legion,2:2,Läänemaa JK
2025-03-15,FC Kuressaare U21,0:3,Maardu Linnameeskond
2025-03-16,Paide Linnameeskond U21,3:2,JK Tabasalu
2025-03-16,FC Nõmme United U21,3:0,FA Tartu Kalev
2025-03-22,Jõhvi FC Phoenix,3:1,Läänemaa JK
2025-03-28,Maardu Linnameeskond,2:3,Tallinna JK Legion
2025-03-29,Paide Linnameeskond U21,0:6,FC Nõmme United U21
2025-03-30,FA Tartu Kalev,3:1,FC Kuressaare U21
2025-03-30,JK Narva Trans U21,1:0,JK Tabasalu
2025-04-05,FC Nõmme United U21,1:3,Maardu Linnameeskond
2025-04-06,Tallinna JK Legion,1:1,Jõhvi FC Phoenix
2025-04-06,FC Kuressaare U21,3:2,JK Tabasalu
2025-04-06,JK Narva Trans U21,0:1,FA Tartu Kalev
2025-04-06,Läänemaa JK,1:3,Paide Linnameeskond U21
2025-04-12,JK Tabasalu,1:3,Jõhvi FC Phoenix
2025-04-12,FC Nõmme United U21,2:0,Läänemaa JK
2025-04-12,Maardu Linnameeskond,5:1,JK Narva Trans U21
2025-04-13,FC Kuressaare U21,3:4,Tallinna JK Legion
2025-04-13,FA Tartu Kalev,5:0,Paide Linnameeskond U21
2025-04-19,Paide Linnameeskond U21,1:4,Maardu Linnameeskond
2025-04-19,JK Tabasalu,2:0,FC Nõmme United U21
2025-04-19,Tallinna JK Legion,1:0,FA Tartu Kalev
2025-04-19,Jõhvi FC Phoenix,5:1,FC Kuressaare U21
2025-04-20,Läänemaa JK,0:2,JK Narva Trans U21
2025-04-26,Läänemaa JK,1:2,JK Tabasalu
2025-04-26,JK Narva Trans U21,2:0,Tallinna JK Legion
2025-04-26,Jõhvi FC Phoenix,5:2,FC Nõmme United U21
2025-04-26,Maardu Linnameeskond,6:1,FA Tartu Kalev
