Date,Home,Result,Away,League
2025-11-15,Viljandi JK Tulevik,5:1,Paide Linnameeskond U21,ESB-LOW
2025-11-22,Paide Linnameeskond U21,3:2,Viljandi JK Tulevik,ESB-LOW
2025-11-15,Jõhvi FC Phoenix,2:2,FC Tallinn,ESL-ESB
2025-11-22,FC Tallinn,1:0,Jõhvi FC Phoenix,ESL-ESB
2024-11-10,Pärnu JK Vaprus U21,4:1,Tallinna JK Puuma ja JK Volta ÜM,ESB-LOW
2024-11-17,Pärnu JK Vaprus U21,2:2,Läänemaa JK,ESB-LOW
2024-11-13,Tallinna JK Puuma ja JK Volta ÜM,3:2,Pärnu JK Vaprus U21,ESB-LOW
2024-11-24,Läänemaa JK,4:2,Pärnu JK Vaprus U21,ESB-LOW
2024-11-17,Tallinna JK Legion,0:3,FC Elva,ESL-ESB
2024-11-24,FC Elva,6:0,Tallinna JK Legion,ESL-ESB
2023-11-19,Jõhvi FC Phoenix ja JK Noova ÜM,6:1,Saku Sporting,ESB-LOW
2023-11-22,Harju JK Laagri U21,1:2,Nõmme Kalju FC U21,ESB-LOW
2023-11-25,Jõhvi FC Phoenix ja JK Noova ÜM,3:0,Läänemaa JK,ESB-LOW
2023-11-22,Saku Sporting,2:5,Jõhvi FC Phoenix ja JK Noova ÜM,ESB-LOW
2023-11-25,Nõmme Kalju FC U21,0:0,Harju JK Laagri U21,ESB-LOW
2023-11-29,Läänemaa JK,6:2,Jõhvi FC Phoenix ja JK Noova ÜM,ESB-LOW
2023-11-25,FA Tartu Kalev,0:0,FC Elva,ESL-ESB
2023-11-29,FC Elva,2:1,FA Tartu Kalev,ESL-ESB
2022-11-16,Tallinna FC Flora U19,0:3,Tallinna JK Legion U21,ESB-LOW
2022-11-20,Tallinna JK Legion U21,2:1,Tallinna FC Flora U19,ESB-LOW
2022-11-16,Ida-Virumaa FC Alliance,3:3,JK Tallinna Kalev U21,ESL-ESB
2022-11-20,JK Tallinna Kalev U21,0:1,Ida-Virumaa FC Alliance,ESL-ESB
