Date,Home,Result,Away
1999-07-01,Tallinna FC Flora,5:2,Viljandi JK Tulevik
1999-08-01,Viljandi JK Tulevik,14:0,Eesti Põlevkivi
1999-08-01,Lelle SK,1:5,Tallinna FC Levadia
1999-08-01,FC Lantana,0:0,Tallinna FC TVMK
1999-05-02,Tallinna FC TVMK,3:0,Lelle SK
1999-05-02,Tallinna FC Levadia,3:0,FC Lantana
1999-05-02,Eesti Põlevkivi,1:6,Tallinna FC Flora
1999-05-02,JK Narva Trans,1:1,Viljandi JK Tulevik
1999-04-03,Eesti Põlevkivi,1:2,Viljandi JK Tulevik
1999-10-03,Tallinna FC Flora,1:1,Viljandi JK Tulevik
1999-10-03,Eesti Põlevkivi,1:4,FC Lantana
1999-10-03,JK Narva Trans,1:0,Lelle SK
1999-10-03,Tallinna FC Levadia,3:0,Tallinna FC TVMK
1999-04-04,JK Narva Trans,1:3,Tallinna FC Flora
1999-04-04,Tallinna FC Levadia,5:2,Lelle SK
1999-07-04,Eesti Põlevkivi,1:0,JK Narva Trans
1999-07-04,FC Lantana,1:1,Lelle SK
1999-07-05,Tallinna FC Levadia,2:1,Viljandi JK Tulevik
1999-07-05,Tallinna FC TVMK,1:1,Tallinna FC Flora
1999-08-05,Tallinna FC Levadia,1:0,JK Narva Trans
1999-08-05,Eesti Põlevkivi,0:0,Lelle SK
1999-08-05,Tallinna FC Flora,3:1,FC Lantana
1999-08-05,Viljandi JK Tulevik,0:0,Tallinna FC TVMK
1999-09-05,JK Narva Trans,2:0,FC Lantana
1999-09-05,Eesti Põlevkivi,0:0,Tallinna FC TVMK
1999-05-08,Viljandi JK Tulevik,2:4,Tallinna FC Flora
1999-05-08,FC Lantana,0:0,Eesti Põlevkivi
1999-05-08,Tallinna FC TVMK,0:3,Tallinna FC Levadia
1999-05-09,Lelle SK,0:3,JK Narva Trans
1999-07-09,Tallinna FC Flora,1:2,Tallinna FC Levadia
1999-07-09,Tallinna FC TVMK,0:0,Eesti Põlevkivi
1999-07-10,Lelle SK,0:1,Viljandi JK Tulevik
1999-07-10,FC Lantana,1:1,JK Narva Trans
1999-08-10,Tallinna FC TVMK,1:3,Lelle SK
1999-06-12,JK Narva Trans,1:2,Tallinna FC Levadia
1999-06-12,Tallinna FC TVMK,0:4,Viljandi JK Tulevik
1999-09-12,Tallinna FC TVMK,2:1,JK Narva Trans
1999-09-12,FC Lantana,1:2,Viljandi JK Tulevik
1999-09-12,Eesti Põlevkivi,1:9,Tallinna FC Levadia
1999-09-12,Tallinna FC Flora,2:1,Lelle SK
1999-06-13,Lelle SK,0:0,Eesti Põlevkivi
1999-06-13,FC Lantana,3:3,Tallinna FC Flora
1999-08-13,Eesti Põlevkivi,0:1,Tallinna FC Flora
1999-10-13,Viljandi JK Tulevik,3:0,Lelle SK
1999-10-13,Tallinna FC Levadia,3:1,Tallinna FC Flora
1999-04-14,Tallinna FC Flora,5:0,JK Narva Trans
1999-04-14,Lelle SK,1:1,Tallinna FC Levadia
1999-04-14,Viljandi JK Tulevik,1:0,Eesti Põlevkivi
1999-04-14,FC Lantana,2:0,Tallinna FC TVMK
1999-08-15,Tallinna FC Levadia,4:0,FC Lantana
1999-05-16,JK Narva Trans,4:1,Eesti Põlevkivi
1999-05-16,Tallinna FC Flora,0:1,Tallinna FC TVMK
1999-05-16,Lelle SK,4:2,FC Lantana
1999-05-16,Viljandi JK Tulevik,0:3,Tallinna FC Levadia
1999-06-16,Viljandi JK Tulevik,1:3,JK Narva Trans
1999-07-17,Viljandi JK Tulevik,1:1,FC Lantana
1999-07-17,Tallinna FC Levadia,6:0,Eesti Põlevkivi
1999-07-17,JK Narva Trans,1:1,Tallinna FC TVMK
1999-09-17,Tallinna FC TVMK,0:1,FC Lantana
1999-09-17,JK Narva Trans,1:1,Tallinna FC Flora
1999-09-17,Eesti Põlevkivi,0:2,Viljandi JK Tulevik
1999-10-17,Tallinna FC Levadia,4:0,Viljandi JK Tulevik
1999-10-17,Tallinna FC TVMK,0:2,Tallinna FC Flora
1999-10-17,FC Lantana,0:0,Lelle SK
1999-10-17,Eesti Põlevkivi,0:4,JK Narva Trans
1999-06-19,FC Lantana,0:1,Tallinna FC Levadia
1999-06-19,Tallinna FC Flora,4:0,Eesti Põlevkivi
1999-06-19,Lelle SK,0:2,Tallinna FC TVMK
1999-08-20,Tallinna FC TVMK,0:4,Tallinna FC Levadia
1999-08-20,FC Lantana,1:1,Eesti Põlevkivi
1999-10-20,Tallinna FC Levadia,3:2,Lelle SK
1999-08-21,Viljandi JK Tulevik,1:0,Tallinna FC Flora
1999-09-21,Lelle SK,1:0,Tallinna FC Flora
1999-09-21,JK Narva Trans,2:0,Viljandi JK Tulevik
1999-05-22,Viljandi JK Tulevik,2:0,Lelle SK
1999-05-22,Tallinna FC Levadia,0:0,Tallinna FC Flora
1999-05-22,Eesti Põlevkivi,1:0,Tallinna FC TVMK
1999-05-22,JK Narva Trans,7:0,FC Lantana
1999-08-22,Lelle SK,1:0,JK Narva Trans
1999-04-23,Tallinna FC Flora,3:0,FC Lantana
1999-04-23,Tallinna FC Levadia,2:0,JK Narva Trans
1999-04-23,Viljandi JK Tulevik,1:0,Tallinna FC TVMK
1999-04-23,Eesti Põlevkivi,0:0,Lelle SK
1999-06-23,Tallinna FC TVMK,0:2,FC Lantana
1999-10-23,Lelle SK,2:4,Viljandi JK Tulevik
1999-10-23,FC Lantana,0:2,JK Narva Trans
1999-10-23,Tallinna FC Flora,0:3,Tallinna FC Levadia
1999-10-23,Tallinna FC TVMK,3:1,Eesti Põlevkivi
1999-09-25,Lelle SK,3:1,Eesti Põlevkivi
1999-09-25,FC Lantana,3:2,Tallinna FC Flora
1999-09-25,JK Narva Trans,0:0,Tallinna FC Levadia
1999-09-25,Tallinna FC TVMK,0:2,Viljandi JK Tulevik
1999-10-27,Lelle SK,0:1,Tallinna FC Flora
1999-10-27,JK Narva Trans,0:1,Tallinna FC TVMK
1999-10-27,Viljandi JK Tulevik,3:2,FC Lantana
1999-08-29,JK Narva Trans,2:0,Eesti Põlevkivi
1999-08-29,Tallinna FC Flora,1:1,Tallinna FC TVMK
1999-08-29,Viljandi JK Tulevik,0:0,Tallinna FC Levadia
1999-09-29,Lelle SK,0:0,Tallinna FC TVMK
1999-09-29,Tallinna FC Flora,7:1,Eesti Põlevkivi
1999-09-29,FC Lantana,1:3,Tallinna FC Levadia
1999-09-29,Viljandi JK Tulevik,3:1,JK Narva Trans
1999-05-30,Tallinna FC TVMK,0:0,JK Narva Trans
1999-05-30,Eesti Põlevkivi,0:5,Tallinna FC Levadia
1999-05-30,FC Lantana,1:3,Viljandi JK Tulevik
1999-05-30,Tallinna FC Flora,2:2,Lelle SK
1999-06-30,JK Narva Trans,1:0,Lelle SK
1999-06-30,Eesti Põlevkivi,1:3,FC Lantana
1999-08-30,Lelle SK,1:1,FC Lantana
1999-07-31,Tallinna FC Flora,1:1,JK Narva Trans
