Date,Home,Result,Away
2022-03-03,Tallinna FC Flora U21,2:1,Viimsi JK
2022-03-03,Pärnu Jalgpalliklubi,1:2,Viljandi JK Tulevik
2022-03-03,FC Elva,3:4,Tallinna FCI Levadia U21
2022-03-03,Paide Linnameeskond U21,1:5,Harju JK Laagri
2022-03-10,Ida-Virumaa FC Alliance,2:2,FC Nõmme United
2022-03-06,Viimsi JK,1:1,Pärnu Jalgpalliklubi
2022-03-07,FC Nõmme United,1:1,FC Elva
2022-03-07,Harju JK Laagri,4:2,Tallinna FC Flora U21
2022-03-07,Viljandi JK Tulevik,0:5,Paide Linnameeskond U21
2022-06-25,Tallinna FCI Levadia U21,1:2,Ida-Virumaa FC Alliance
2022-03-13,Ida-Virumaa FC Alliance,0:2,FC Elva
2022-03-13,Pärnu Jalgpalliklubi,0:1,FC Nõmme United
2022-03-14,Tallinna FC Flora U21,3:0,Viljandi JK Tulevik
2022-03-14,Harju JK Laagri,0:1,Viimsi JK
2022-03-14,Paide Linnameeskond U21,3:0,Tallinna FCI Levadia U21
2022-03-19,FC Elva,2:0,Harju JK Laagri
2022-03-19,Ida-Virumaa FC Alliance,1:0,Pärnu Jalgpalliklubi
2022-03-19,Viljandi JK Tulevik,2:6,FC Nõmme United
2022-03-19,Viimsi JK,4:3,Paide Linnameeskond U21
2022-03-21,Tallinna FC Flora U21,4:1,Tallinna FCI Levadia U21
2022-04-02,Harju JK Laagri,6:0,Viljandi JK Tulevik
2022-04-02,FC Elva,0:0,Pärnu Jalgpalliklubi
2022-04-03,Tallinna FCI Levadia U21,3:0,Viimsi JK
2022-04-04,Paide Linnameeskond U21,4:0,Ida-Virumaa FC Alliance
2022-04-04,FC Nõmme United,2:0,Tallinna FC Flora U21
2022-04-09,Pärnu Jalgpalliklubi,1:1,Tallinna FCI Levadia U21
2022-04-09,Ida-Virumaa FC Alliance,1:0,Viimsi JK
2022-04-10,FC Nõmme United,3:2,Harju JK Laagri
2022-04-11,Viljandi JK Tulevik,0:1,FC Elva
2022-04-11,Tallinna FC Flora U21,0:4,Paide Linnameeskond U21
2022-04-14,Tallinna FCI Levadia U21,2:1,FC Nõmme United
2022-04-14,Paide Linnameeskond U21,3:0,Pärnu Jalgpalliklubi
2022-04-14,Harju JK Laagri,6:1,Ida-Virumaa FC Alliance
2022-04-14,FC Elva,1:4,Tallinna FC Flora U21
2022-04-14,Viimsi JK,3:0,Viljandi JK Tulevik
