Date,Home,Result,Away
2014-03-01,Tallinna FC Flora III,1:1,FC Elva
2014-06-01,FC Elva,0:7,Tartu FC Santos
2014-03-02,Maardu FC Starbunker,4:3,Ida-Virumaa FC Alliance
2014-03-02,JK Sillamäe Kalev U21,1:1,Tallinna JK Legion
2014-03-02,Tallinna FC Infonet II,1:0,Tartu FC Santos
2014-04-03,Tallinna JK Legion,2:0,Tallinna FC Ararat
2014-04-05,Tallinna FC Flora III,2:1,HÜJK Emmaste
2014-03-06,Tallinna JK Legion,4:1,Tallinna FC Flora III
2014-04-06,JK Sillamäe Kalev U21,4:0,Ida-Virumaa FC Alliance
2014-04-06,Maardu FC Starbunker,0:4,Tallinna FC Infonet II
2014-03-09,JK Sillamäe Kalev U21,3:0,Tallinna FC Ararat
2014-03-09,HÜJK Emmaste,1:5,Tartu FC Santos
2014-03-09,Ida-Virumaa FC Alliance,2:2,Tallinna FC Infonet II
2014-04-10,Tallinna FC Ararat,2:3,Tallinna FC Flora III
2014-04-11,Tartu FC Santos,5:0,Tallinna JK Legion
2014-04-12,HÜJK Emmaste,3:1,Maardu FC Starbunker
2014-03-13,HÜJK Emmaste,4:1,Ida-Virumaa FC Alliance
2014-04-13,Ida-Virumaa FC Alliance,1:3,FC Elva
2014-04-13,Tallinna FC Infonet II,4:1,JK Sillamäe Kalev U21
2014-03-16,Maardu FC Starbunker,4:1,Tallinna JK Legion
2014-03-16,Tallinna FC Ararat,0:2,Tartu FC Santos
2014-03-16,Tallinna FC Infonet II,6:0,FC Elva
2014-03-16,Tallinna FC Flora III,1:7,JK Sillamäe Kalev U21
2014-04-16,FC Elva,2:2,Maardu FC Starbunker
2014-04-18,Tallinna JK Legion,1:0,Ida-Virumaa FC Alliance
2014-03-20,Tallinna JK Legion,1:7,Tallinna FC Infonet II
2014-04-20,Tallinna FC Infonet II,5:2,HÜJK Emmaste
2014-04-20,Maardu FC Starbunker,2:4,Tallinna FC Ararat
2014-04-20,JK Sillamäe Kalev U21,4:1,FC Elva
2014-04-20,Tallinna FC Flora III,0:3,Tartu FC Santos
2014-03-22,Tallinna FC Flora III,3:5,Maardu FC Starbunker
2014-03-23,Ida-Virumaa FC Alliance,0:1,Tallinna FC Ararat
2014-03-23,HÜJK Emmaste,2:1,FC Elva
2014-03-23,JK Sillamäe Kalev U21,0:2,Tartu FC Santos
2014-04-24,Ida-Virumaa FC Alliance,4:1,Tallinna FC Flora III
2014-04-26,Tallinna FC Ararat,0:4,Tallinna FC Infonet II
2014-04-26,Tartu FC Santos,4:1,Maardu FC Starbunker
2014-03-27,Tallinna FC Infonet II,2:1,Tallinna FC Flora III
2014-03-27,Maardu FC Starbunker,0:4,JK Sillamäe Kalev U21
2014-04-27,FC Elva,0:1,Tallinna JK Legion
2014-04-27,JK Sillamäe Kalev U21,1:2,HÜJK Emmaste
2014-02-28,Tallinna FC Ararat,2:2,HÜJK Emmaste
