Date,Home,Result,Away
2025-03-01,Pärnu JK Vaprus,0:3,Nõmme Kalju FC
2025-03-01,Tallinna FC Flora,2:2,JK Narva Trans
2025-03-02,JK Tallinna Kalev,1:2,Tartu JK Tammeka
2025-03-02,FC Kuressaare,1:2,Paide Linnameeskond
2025-02-28,Tallinna FCI Levadia,5:0,Harju JK Laagri
2025-03-08,Tallinna FC Flora,0:1,Pärnu JK Vaprus
2025-03-08,Tartu JK Tammeka,2:3,Tallinna FCI Levadia
2025-03-08,JK Narva Trans,0:2,FC Kuressaare
2025-03-09,Harju JK Laagri,2:0,JK Tallinna Kalev
2025-03-09,Paide Linnameeskond,4:0,Nõmme Kalju FC
2025-03-15,Pärnu JK Vaprus,1:2,Tallinna FCI Levadia
2025-03-15,JK Narva Trans,1:0,Paide Linnameeskond
2025-03-15,JK Tallinna Kalev,0:4,Tallinna FC Flora
2025-03-16,Nõmme Kalju FC,2:2,Tartu JK Tammeka
2025-03-16,FC Kuressaare,1:2,Harju JK Laagri
2025-03-29,Tartu JK Tammeka,0:5,Pärnu JK Vaprus
2025-03-29,Tallinna FC Flora,5:0,FC Kuressaare
2025-03-29,Harju JK Laagri,0:3,JK Narva Trans
2025-03-30,Paide Linnameeskond,5:0,JK Tallinna Kalev
2025-03-30,Tallinna FCI Levadia,2:1,Nõmme Kalju FC
2025-04-05,Paide Linnameeskond,1:0,Tartu JK Tammeka
2025-04-05,JK Narva Trans,0:1,Tallinna FCI Levadia
2025-04-05,Pärnu JK Vaprus,1:1,Harju JK Laagri
2025-04-05,Nõmme Kalju FC,1:2,Tallinna FC Flora
2025-04-05,JK Tallinna Kalev,4:1,FC Kuressaare
2025-04-08,JK Narva Trans,1:0,JK Tallinna Kalev
2025-04-08,Tartu JK Tammeka,1:2,Tallinna FC Flora
2025-04-08,Tallinna FCI Levadia,2:1,FC Kuressaare
2025-04-09,Nõmme Kalju FC,3:0,Harju JK Laagri
2025-04-09,Paide Linnameeskond,1:0,Pärnu JK Vaprus
2025-04-12,FC Kuressaare,0:2,Nõmme Kalju FC
2025-04-12,Harju JK Laagri,1:2,Paide Linnameeskond
2025-04-12,Tallinna FCI Levadia,0:0,Tallinna FC Flora
2025-04-13,Pärnu JK Vaprus,2:2,JK Tallinna Kalev
2025-04-13,Tartu JK Tammeka,1:2,JK Narva Trans
2025-04-18,FC Kuressaare,1:0,Pärnu JK Vaprus
2025-04-18,Harju JK Laagri,4:1,Tartu JK Tammeka
2025-04-18,Tallinna FC Flora,1:0,Paide Linnameeskond
2025-04-19,JK Tallinna Kalev,0:9,Tallinna FCI Levadia
2025-04-19,JK Narva Trans,1:2,Nõmme Kalju FC
2025-04-22,Tartu JK Tammeka,1:0,FC Kuressaare
2025-04-22,Nõmme Kalju FC,6:1,JK Tallinna Kalev
2025-04-22,Tallinna FC Flora,4:1,Harju JK Laagri
